doi,authorName,authorID,authorIDtype,authorAffil,affilID,affilIDtype,familyName,givenName,indexID,creatorIndex,affiliationIndex,identifierIndex
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Capital Medical University,https://grid.ac/institutes/grid.24696.3f,GRID,Liu,Jing,257,7,3,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Qingdao University,https://grid.ac/institutes/grid.410645.2,GRID,Liu,Jing,257,7,4,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,University of Chinese Academy of Sciences,https://grid.ac/institutes/grid.410726.6,GRID,Liu,Jing,257,7,5,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Children's Hospital of Fudan University,https://grid.ac/institutes/grid.411333.7,GRID,Liu,Jing,257,7,6,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Tianjin Medical University Cancer Institute and Hospital,https://grid.ac/institutes/grid.411918.4,GRID,Liu,Jing,257,7,7,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Novartis (United States),https://grid.ac/institutes/grid.418424.f,GRID,Liu,Jing,257,7,8,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Shenzhen Second People's Hospital,https://grid.ac/institutes/grid.452847.8,GRID,Liu,Jing,257,7,9,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Jiangsu Academy of Agricultural Sciences,https://grid.ac/institutes/grid.454840.9,GRID,Liu,Jing,257,7,10,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Peking University Sixth Hospital,https://grid.ac/institutes/grid.459847.3,GRID,Liu,Jing,257,7,11,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Shandong Provincial Hospital,https://grid.ac/institutes/grid.460018.b,GRID,Liu,Jing,257,7,12,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Chinese Academy of Medical Sciences & Peking Union Medical College,https://grid.ac/institutes/grid.506261.6,GRID,Liu,Jing,257,7,13,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Shenzhen University Health Science Center,https://grid.ac/institutes/grid.508211.f,GRID,Liu,Jing,257,7,14,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Oklahoma State University,https://grid.ac/institutes/grid.65519.3e,GRID,Liu,Jing,257,7,15,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Fudan University,https://grid.ac/institutes/grid.8547.e,GRID,Liu,Jing,257,7,16,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Chinese Academy of Sciences,https://grid.ac/institutes/grid.9227.e,GRID,Liu,Jing,257,7,17,NA
10.6084/m9.figshare.19426223.v1,"Ye, Peng",NA,NA,Chengdu University,https://grid.ac/institutes/grid.411292.d,GRID,Ye,Peng,257,9,1,NA
10.6084/m9.figshare.19426223.v1,"Tan, Hui",NA,NA,Second Xiangya Hospital of Central South University,https://grid.ac/institutes/grid.452708.c,GRID,Tan,Hui,257,10,1,NA
10.6084/m9.figshare.19426223.v1,"Tan, Hui",NA,NA,Fudan University,https://grid.ac/institutes/grid.8547.e,GRID,Tan,Hui,257,10,2,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Monash University,https://grid.ac/institutes/grid.1002.3,GRID,Wei,Wei,257,13,1,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Sun Yat-sen University,https://grid.ac/institutes/grid.12981.33,GRID,Wei,Wei,257,13,2,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Anhui Medical University,https://grid.ac/institutes/grid.186775.a,GRID,Wei,Wei,257,13,3,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Cleveland Clinic,https://grid.ac/institutes/grid.239578.2,GRID,Wei,Wei,257,13,4,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Northeast Normal University,https://grid.ac/institutes/grid.27446.33,GRID,Wei,Wei,257,13,5,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Harbin Medical University,https://grid.ac/institutes/grid.410736.7,GRID,Wei,Wei,257,13,6,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Fujian University of Traditional Chinese Medicine,https://grid.ac/institutes/grid.411504.5,GRID,Wei,Wei,257,13,7,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,West China Hospital of Sichuan University,https://grid.ac/institutes/grid.412901.f,GRID,Wei,Wei,257,13,8,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Peking University Shenzhen Hospital,https://grid.ac/institutes/grid.440601.7,GRID,Wei,Wei,257,13,9,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Jining Medical University,https://grid.ac/institutes/grid.449428.7,GRID,Wei,Wei,257,13,10,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Changshu Institute of Technology,https://grid.ac/institutes/grid.459411.c,GRID,Wei,Wei,257,13,11,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Sun Yat-sen University Cancer Center,https://grid.ac/institutes/grid.488530.2,GRID,Wei,Wei,257,13,12,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,University of Science and Technology Beijing,https://grid.ac/institutes/grid.69775.3a,GRID,Wei,Wei,257,13,13,NA
10.6084/m9.figshare.19426223.v1,"Wei, Wei",NA,NA,Fudan University,https://grid.ac/institutes/grid.8547.e,GRID,Wei,Wei,257,13,14,NA
10.3886/e204941v1,"Zeng, Jiangnan",NA,NA,University of Guelph,NA,NA,Zeng,Jiangnan,29,1,1,NA
10.3886/e204941v1,"Zhou, Qiyao",NA,NA,Oklahoma State University,NA,NA,Zhou,Qiyao,29,2,1,NA
10.3886/e204941,"Zeng, Jiangnan",NA,NA,University of Guelph,NA,NA,Zeng,Jiangnan,30,1,1,NA
10.3886/e204941,"Zhou, Qiyao",NA,NA,Oklahoma State University,NA,NA,Zhou,Qiyao,30,2,1,NA
10.5061/dryad.5x69p8dck,"Duell, Eric",0000-0001-8692-5271,ORCID,Kansas Biological Survey-Center for Ecological Research,NA,NA,Duell,Eric,33,1,1,1
10.5281/zenodo.6516934,"Cuff, Jordan Patrick",0000-0002-0198-4940,ORCID,Newcastle University,NA,NA,Cuff,Jordan Patrick,34,1,1,1
10.5281/zenodo.6516934,"Evans, Darren M.",0000-0003-4061-6726,ORCID,Newcastle University,NA,NA,Evans,Darren M.,34,2,1,1
10.5281/zenodo.6516934,"Vaughan, Ian P.",0000-0002-7263-3822,ORCID,Cardiff University,NA,NA,Vaughan,Ian P.,34,3,1,1
10.5281/zenodo.6516934,"Wilder, Shawn M.",0000-0003-0359-7220,ORCID,Oklahoma State University,NA,NA,Wilder,Shawn M.,34,4,1,1
10.5281/zenodo.6516934,"Tercel, Maximillian PTG",0000-0003-0820-3278,ORCID,Cardiff University,NA,NA,Tercel,Maximillian PTG,34,5,1,1
10.5281/zenodo.6516934,"Windsor, Fredric M.",0000-0001-5030-3470,ORCID,Newcastle University,NA,NA,Windsor,Fredric M.,34,6,1,1
10.5281/zenodo.11209925,"Cuff, Jordan Patrick",0000-0002-0198-4940,ORCID,Newcastle University,NA,NA,Cuff,Jordan Patrick,35,1,1,1
10.5281/zenodo.11209925,"Evans, Darren M.",0000-0003-4061-6726,ORCID,Newcastle University,NA,NA,Evans,Darren M.,35,2,1,1
10.5281/zenodo.11209925,"Vaughan, Ian P.",0000-0002-7263-3822,ORCID,Cardiff University,NA,NA,Vaughan,Ian P.,35,3,1,1
10.5281/zenodo.11209925,"Wilder, Shawn M.",0000-0003-0359-7220,ORCID,Oklahoma State University,NA,NA,Wilder,Shawn M.,35,4,1,1
10.5281/zenodo.11209925,"Tercel, Maximillian PTG",0000-0003-0820-3278,ORCID,Cardiff University,NA,NA,Tercel,Maximillian PTG,35,5,1,1
10.5281/zenodo.11209925,"Windsor, Fredric M.",0000-0001-5030-3470,ORCID,Newcastle University,NA,NA,Windsor,Fredric M.,35,6,1,1
10.5281/zenodo.7230652,"Cuff, Jordan Patrick",0000-0002-0198-4940,ORCID,Newcastle University,NA,NA,Cuff,Jordan Patrick,36,1,1,1
10.5281/zenodo.7230652,"Evans, Darren M.",0000-0003-4061-6726,ORCID,Newcastle University,NA,NA,Evans,Darren M.,36,2,1,1
10.5281/zenodo.7230652,"Vaughan, Ian P.",0000-0002-7263-3822,ORCID,Cardiff University,NA,NA,Vaughan,Ian P.,36,3,1,1
10.5281/zenodo.7230652,"Wilder, Shawn M.",0000-0003-0359-7220,ORCID,Oklahoma State University,NA,NA,Wilder,Shawn M.,36,4,1,1
10.5281/zenodo.7230652,"Tercel, Maximillian PTG",0000-0003-0820-3278,ORCID,Cardiff University,NA,NA,Tercel,Maximillian PTG,36,5,1,1
10.5281/zenodo.7230652,"Windsor, Fredric M.",0000-0001-5030-3470,ORCID,Newcastle University,NA,NA,Windsor,Fredric M.,36,6,1,1
10.5281/zenodo.6516935,"Cuff, Jordan Patrick",0000-0002-0198-4940,ORCID,Newcastle University,NA,NA,Cuff,Jordan Patrick,37,1,1,1
10.5281/zenodo.6516935,"Evans, Darren M.",0000-0003-4061-6726,ORCID,Newcastle University,NA,NA,Evans,Darren M.,37,2,1,1
10.5281/zenodo.6516935,"Vaughan, Ian P.",0000-0002-7263-3822,ORCID,Cardiff University,NA,NA,Vaughan,Ian P.,37,3,1,1
10.5281/zenodo.6516935,"Wilder, Shawn M.",0000-0003-0359-7220,ORCID,Oklahoma State University,NA,NA,Wilder,Shawn M.,37,4,1,1
10.5281/zenodo.6516935,"Tercel, Maximillian PTG",0000-0003-0820-3278,ORCID,Cardiff University,NA,NA,Tercel,Maximillian PTG,37,5,1,1
10.5281/zenodo.6516935,"Windsor, Fredric M.",0000-0001-5030-3470,ORCID,Newcastle University,NA,NA,Windsor,Fredric M.,37,6,1,1
10.5281/zenodo.11099762,"Chhabra, Bhavit",NA,NA,University of Maryland,NA,NA,Chhabra,Bhavit,38,6,1,NA
10.5281/zenodo.11099762,"Rawat, Nidhi",NA,NA,University of Maryland,NA,NA,Rawat,Nidhi,38,14,1,NA
10.5281/zenodo.11099763,"Chhabra, Bhavit",NA,NA,University of Maryland,NA,NA,Chhabra,Bhavit,39,6,1,NA
10.5281/zenodo.11099763,"Rawat, Nidhi",NA,NA,University of Maryland,NA,NA,Rawat,Nidhi,39,14,1,NA
10.5061/dryad.k6djh9wbs,"Buckingham, Jeff",NA,NA,Arkansas Game and Fish Commission,NA,NA,Buckingham,Jeff,56,3,1,NA
10.5061/dryad.k6djh9wbs,"Kern, Aaron",NA,NA,Arkansas Game and Fish Commission,NA,NA,Kern,Aaron,56,4,1,NA
10.5061/dryad.9w0vt4bkc,"Flud, Gabrielle",NA,NA,Catoosa High School,NA,NA,Flud,Gabrielle,61,1,1,NA
10.5061/dryad.12jm63z25,"Eckles, Joanna W",NA,NA,American Bird Conservancy,NA,NA,Eckles,Joanna W,64,4,1,NA
10.5061/dryad.12jm63z25,"Turner, Reed J",NA,NA,Audubon Minnesota,NA,NA,Turner,Reed J,64,5,1,NA
10.5061/dryad.r4xgxd2gw,"Harvey, Timothy S.",NA,NA,Plantae Novae,NA,NA,Harvey,Timothy S.,70,7,1,NA
10.5061/dryad.05qfttf3w,"Rothier, Priscila",NA,NA,Muséum National d'Histoire Naturelle,NA,NA,Rothier,Priscila,93,2,1,NA
10.5061/dryad.05qfttf3w,"Herrel, Anthony",NA,NA,Muséum National d'Histoire Naturelle,NA,NA,Herrel,Anthony,93,4,1,NA
10.5061/dryad.ncjsxksvx,"Rutledge, Jimmy",NA,NA,El Coyote Ranch,NA,NA,Rutledge,Jimmy,98,6,1,NA
10.5061/dryad.3r2280ggv,"Boutte, Julien",NA,NA,A2Bio2,NA,NA,Boutte,Julien,99,5,1,NA
10.5061/dryad.t4b8gtj2d,"Tanner, Evan",0000-0003-0063-7004,ORCID,Caesar Kleberg Wildlife Research Institute,NA,NA,Tanner,Evan,102,1,1,1
10.5061/dryad.vq83bk3sj,"Middleton, David J.",NA,NA,Singapore Botanic Gardens,NA,NA,Middleton,David J.,106,6,1,NA
10.5061/dryad.4qrfj6q8x,"Rutledge, Jimmy",NA,NA,El Coyote Ranch,NA,NA,Rutledge,Jimmy,113,7,1,NA
10.5061/dryad.05qfttf28,"Clemens, Jan",0000-0003-4200-8097,ORCID,European Neuroscience Institute,NA,NA,Clemens,Jan,114,1,1,1
10.5061/dryad.31zcrjdjr,"Sawyer, Hall",NA,NA,"Western Ecosystems Technology, Inc.",NA,NA,Sawyer,Hall,117,15,1,NA
10.5061/dryad.31zcrjdjr,"Taylor, Kaitlyn",NA,NA,Grouse Mountain Environmental Consultants,NA,NA,Taylor,Kaitlyn,117,18,1,NA
10.5061/dryad.02v6wwq1n,"Park, Shinyeong",NA,NA,DMZ Ecology Research Institute,NA,NA,Park,Shinyeong,123,2,1,NA
